player,team,total_minutes,most_frequent_position
Milan Badelj,Genoa,1225,CM
Milan Đurić,Monza,1168,FW
Milan Škriniar,Paris Saint-Germain,382,CB
Mile Svilar,Roma,1800,GK
Milos Kerkez,Bournemouth,1727,LB
Milos Lukovic,Strasbourg,12,CM
Miloš Veljković,Werder Bremen,453,CB
Mio Backhaus,Werder Bremen,0,
Mirko Marić,Monza,97,FW
Mitchel Bakker,Atalanta,22,AM
Mitchel Bakker,Lille,391,LB
Mitchell Weiser,Werder Bremen,1341,WB
Modibo Sagnan,Montpellier,1285,CB
Mohamed Abdelmoneim,Nice,608,CB
Mohamed Ali Cho,Nice,806,RW
Mohamed Ali Diadie,Reims,0,
Mohamed Amoura,Wolfsburg,1111,FW
Mohamed Bamba,Reims,10,DM
Mohamed Haj,Parma,249,AM
Mohamed Kaba,Lecce,76,CM
Mohamed Lamine Bayo,Lille,221,FW
Mohamed Meité,Rennes,11,LW
Mohamed Salah,Liverpool,1672,RW
Mohamed Simakan,RB Leipzig,54,RB
Mohammed Daramy,Reims,16,LW
Mohammed Kudus,West Ham United,971,LM
Mohammed Salisu,Monaco,750,CB
Moi Gómez,Osasuna,504,LM
Moise Kean,Fiorentina,1306,FW
Moisés Caicedo,Chelsea,1775,DM
Morato,Nottingham Forest,402,CB
Morgan Gibbs-White,Nottingham Forest,1250,AM
Morgan Guilavogui,St. Pauli,980,FW
Morgan Rogers,Aston Villa,1558,AM
Moritz Broschinski,Bochum,942,FW
Moritz Jenz,Mainz 05,724,CB
Moritz Nicolas,Mönchengladbach,1170,GK
Moritz-Broni Kwarteng,Bochum,172,LM
Morro,Rayo Vallecano,0,
Morten Frendrup,Genoa,1132,CM
Morten Thorsby,Genoa,1082,CM
Moses Simon,Nantes,1270,LW
Mostafa Mohamed,Nantes,523,FW
Moussa Diarra,Alavés,1029,CB
Moussa Niakhate,Lyon,1196,CB
Moïse Bombito,Nice,1144,CB
Munir El Haddadi,Leganés,429,AM
Murillo,Nottingham Forest,1687,CB
Musa Al-Taamari,Montpellier,849,RW
Mykhailo Mudryk,Chelsea,151,LW
Myles Lewis-Skelly,Arsenal,244,LB
Myles Peart-Harris,Brentford,0,
Myron Boadu,Bochum,368,FW
Máximo Perrone,Como,570,DM
Mërgim Vojvoda,Torino,988,WB
Naatan Skyttä,Toulouse,5,FW
Nabil Aberdin,Getafe,263,DM
Nabil Fekir,Real Betis,180,AM
Nacho Vidal,Osasuna,124,RB
Naci Ünüvar,Espanyol,31,LM
Nadiem Amiri,Mainz 05,1105,CM
Nadir Zortea,Cagliari,1214,WB
Nahuel Estévez,Parma,356,DM
Nahuel Molina,Atlético Madrid,859,RB
Nahuel Tenaglia,Alavés,1381,RB
Naim García,Leganés,0,
Nampalys Mendy,Lens,110,AM
Naoufel El Hannach,Paris Saint-Germain,0,
Naouirou Ahamada,Crystal Palace,0,
Naouirou Ahamada,Rennes,4,FW
Natan,Real Betis,912,CB
Nathan Aké,Manchester City,512,CB
Nathan Broadhead,Ipswich Town,216,LM
Nathan Butler-Oyedeji,Arsenal,0,
Nathan Collins,Brentford,1800,CB
Nathan N'Goumou,Mönchengladbach,272,RW
Nathan Patterson,Everton,87,RB
Nathan Tella,Bayer Leverkusen,497,AM
Nathan Wood-Gordon,Southampton,405,CB
Nathan Zeze,Nantes,1043,CB
Nathaniel Brown,Eintracht Frankfurt,648,LB
Nathaniel Clyne,Crystal Palace,382,WB
Nayef Aguerd,Real Sociedad,1099,CB
Naïm Byar,Bologna,0,
Neal Maupay,Everton,0,
Neal Maupay,Marseille,734,FW
Neco Williams,Nottingham Forest,999,LB
Nediljko Labrović,Augsburg,1350,GK
Nehuén Pérez,Udinese,180,CB
Neil El Aynaoui,Lens,287,CM
Nelson Weiper,Mainz 05,44,AM
Nemanja Gudelj,Sevilla,1439,DM
Nemanja Matić,Lyon,1001,CM
Neto,Arsenal,0,
Neto,Bournemouth,180,GK
Ngal'Ayel Mukau,Lille,621,DM
Nhoa Sangui,Reims,609,RB
Niama Sissoko,Reims,18,FW
Niccolò Chiorra,Empoli,0,
Niccolò Fortini,Fiorentina,0,
Niccolò Pisilli,Roma,526,DM
Niccolò Rizzo,Juventus,0,
Nicholas Pierini,Venezia,83,AM
Nick Pope,Newcastle United,1350,GK
Nick Woltemade,Stuttgart,457,AM
Niclas Füllkrug,West Ham United,303,FW
Nico Elvedi,Mönchengladbach,855,CB
Nico O’Reilly,Manchester City,0,
Nico Schlotterbeck,Dortmund,1242,CB
Nico Williams,Athletic Club,1239,LW
Nicola Bagnolini,Bologna,0,
Nicola Leali,Genoa,1170,GK
Nicola Sansone,Lecce,64,CM
Nicola Zalewski,Roma,512,WB
Nicolai Remberg,Holstein Kiel,1007,CM
Nicolas Cozza,Nantes,1111,LB
Nicolas Cozza,Wolfsburg,0,
Nicolas Haas,Empoli,287,CM
Nicolas Höfler,Freiburg,460,DM
Nicolas Jackson,Chelsea,1445,FW
Nicolas Pallois,Nantes,902,CB
Nicolas Pépé,Villarreal,565,FW
Nicolas Seiwald,RB Leipzig,793,CM
Nicolas Trabucchi,Parma,0,
Nicolas Viola,Cagliari,542,AM
Nicolás Domínguez,Nottingham Forest,956,DM
Nicolás González,Juventus,392,FW
Nicolás Paz,Como,604,AM
Nicolás Serrano,Athletic Club,103,RW
Nicolás Tagliafico,Lyon,756,LB
Nicolás Valentini,Fiorentina,0,
Nicolò Barella,Internazionale,1176,CM
Nicolò Casale,Bologna,253,CB
Nicolò Casale,Lazio,135,CB
Nicolò Fagioli,Juventus,421,DM
Nicolò Postiglione,Monza,0,
Nicolò Rovella,Lazio,1158,DM
Nicolò Savona,Juventus,1096,RB
Nicolò Zaniolo,Atalanta,251,FW
Niels Nkounkou,Eintracht Frankfurt,304,LB
Nikita Contini Baranovsky,Napoli,0,
Niklas Dorsch,Augsburg,32,CM
Niklas Dorsch,Heidenheim,732,DM
Niklas Jessen,Dortmund,0,
Niklas Lomb,Bayer Leverkusen,0,
Niklas Schmidt,Toulouse,205,CM
Niklas Stark,Werder Bremen,911,CB
Niklas Swider,Mönchengladbach,0,
Niklas Süle,Dortmund,489,CB
Nikola Krstović,Lecce,1640,FW
Nikola Maksimović,Montpellier,581,CB
Nikola Milenković,Nottingham Forest,1710,CB
Nikola Moro,Bologna,619,DM
Nikola Vasilj,St. Pauli,1440,GK
Nikola Vlašić,Torino,594,CM
Nikolas Veratschnig,Mainz 05,35,AM
Nnamdi Collins,Eintracht Frankfurt,416,RB
Noah Atubolu,Freiburg,1260,GK
Noah Darvich,Barcelona,0,
Noah Edjouma,Toulouse,0,
Noah El Biache,Empoli,0,
Noah Jauny,Brest,0,
Noah Loosli,Bochum,0,
Noah Okafor,Milan,373,LW
Noah Pesch,Mönchengladbach,0,
Noah Raveyre,Milan,0,
Noah Weißhaupt,Freiburg,80,LW
Noah Weißhaupt,St. Pauli,23,AM
Noahkai Banks,Augsburg,62,CB
Nobel Mendy,Real Betis,0,
Noel Nkili,Bayern Munich,0,
Noni Madueke,Chelsea,1120,RW
Nordi Mukiele,Bayer Leverkusen,216,WB
Nordine Kandil,Strasbourg,10,AM
Norman Theuerkauf,Heidenheim,0,
Noussair Mazraoui,Manchester United,1519,RB
Nuha Jatta,RB Leipzig,0,
Nuno Mendes,Paris Saint-Germain,722,LB
Nuno Tavares,Lazio,1062,LB
Nunzio Lella,Venezia,5,CM
Nélson Semedo,Wolverhampton Wanderers,1136,RB
Obite N'Dicka,Roma,1800,CB
Odilon Kossounou,Atalanta,675,CB
Odilon Kossounou,Bayer Leverkusen,0,
Odisseas Vlachodimos,Newcastle United,0,
Odsonne Édouard,Crystal Palace,115,AM
Odsonne Édouard,Leicester City,29,FW
Oier Gastesi,Athletic Club,0,
Oier Zarraga,Udinese,499,CM
Oihan Sancet,Athletic Club,1010,AM
Ola Aina,Nottingham Forest,1733,RB
Ola Solbakken,Empoli,505,AM
Oladapo Afolayan,St. Pauli,1110,RW
Olasagasti,Real Sociedad,152,CM
Oleksandr Zinchenko,Arsenal,239,LB
Oliver Abildgaard,Como,7,LM
Oliver Baumann,Hoffenheim,1440,GK
Oliver Burke,Werder Bremen,145,FW
Oliver McBurnie,Las Palmas,732,FW
Oliver Scarles,West Ham United,36,LB
Oliver Skipp,Leicester City,708,DM
Olivier Deman,Werder Bremen,67,WB
Oliwier Zych,Aston Villa,0,
Ollie Watkins,Aston Villa,1362,FW
Omar Alderete,Getafe,1606,CB
Omar El Hilali,Espanyol,1568,RB
Omar Marmoush,Eintracht Frankfurt,1358,FW
Omar Mascarell,Mallorca,909,CM
Omar Sadik,Espanyol,0,
Omar Traoré,Heidenheim,1200,RB
Omari Forson,Monza,5,WB
Omari Hutchinson,Ipswich Town,1535,AM
Ondrej Duda,Hellas Verona,983,CM
Orel Mangala,Everton,991,DM
Orel Mangala,Lyon,67,LM
Oriol Romeu,Girona,810,CM
Orri Steinn Óskarsson,Real Sociedad,374,FW
Osame Sahraoui,Lille,819,LW
Oscar Højlund,Eintracht Frankfurt,162,CM
Oscar Lenne,Lens,0,
Othmane Maamma,Montpellier,59,FW
Oualid El Hajjam,Le Havre,0,
Oumar Diakité,Reims,1211,FW
Oumar Solet,Udinese,180,CB
Ousmane Dembélé,Paris Saint-Germain,989,RW
Ousmane Toure,Lille,6,RB
Oussama Targhalline,Le Havre,855,CM
Pablo Barrios,Atlético Madrid,1153,CM
Pablo Busto,Real Betis,0,
Pablo Cruz,Sevilla,0,
Pablo Durán,Celta Vigo,364,FW
Pablo Fornals,Real Betis,977,RW
Pablo Ibáñez,Osasuna,627,RM
Pablo Maffeo,Mallorca,1096,RB
Pablo Marí,Monza,1583,CB
Pablo Marín,Real Sociedad,89,CM
Pablo Rosario,Nice,1168,CM
Pablo Sarabia,Wolverhampton Wanderers,152,AM
Pablo Torre,Barcelona,248,RM
Pantelis Hatzidiakos,Cagliari,0,
Papa Ba,Girona,48,RM
Pape Daouda Diongue,Strasbourg,73,AM
Pape Gueye,Villarreal,1059,CM
Pape Matar Sarr,Tottenham Hotspur,900,RM
Pascal Groß,Dortmund,1048,DM
Pascal Stenzel,Stuttgart,131,RB
Pasquale Mazzocchi,Napoli,314,RW
Pathé Ciss,Rayo Vallecano,798,DM
Patric,Lazio,499,CB
Patrice Čović,Werder Bremen,0,
Patrick Ciurria,Monza,0,
Patrick Cutrone,Como,1183,FW
Patrick Dorgu,Lecce,760,RW
Patrick Drewes,Bochum,1440,GK
Patrick Erras,Holstein Kiel,832,CB
Patrick Mainka,Heidenheim,1440,CB
Patrick Osterhage,Freiburg,1097,DM
Patrick Wimmer,Wolfsburg,663,FW
Patrik Carlgren,Nantes,270,GK
Patrik Schick,Bayer Leverkusen,564,FW
Patrizio Masini,Genoa,66,CM
Patson Daka,Leicester City,217,FW
Pau Cabanes,Villarreal,101,RM
Pau Cubarsí,Barcelona,1488,CB
Pau López,Girona,0,
Pau Navarro,Villarreal,338,CB
Pau Torres,Aston Villa,1549,CB
Pau Victor Delgado,Barcelona,194,FW
Paul Hennrich,Hoffenheim,12,RM
Paul Jaeckel,Union Berlin,0,
Paul Joly,Auxerre,584,RB
Paul Nebel,Mainz 05,823,AM
Paul Onuachu,Southampton,215,FW
Paul Wanner,Heidenheim,1125,AM
Paulo Azzi,Cagliari,426,WB
Paulo Dybala,Roma,753,FW
Paulo Gazzaniga,Girona,1710,GK
Pavao Pervan,Wolfsburg,0,
Pavel Kadeřábek,Hoffenheim,731,WB
Paweł Dawidowicz,Hellas Verona,888,CB
Pedri,Barcelona,1425,DM
Pedro,Lazio,271,RW
Pedro Chirivella,Nantes,1241,DM
Pedro Díaz,Rayo Vallecano,199,CM
Pedro Lima,Wolverhampton Wanderers,58,WB
Pedro Neto,Chelsea,1002,RW
Pedro Ortiz,Sevilla,0,
Pedro Pereira,Monza,1002,WB
Pedro Porro,Tottenham Hotspur,1385,RB
Peio Canales,Athletic Club,20,AM
Pejiño,Las Palmas,16,FW
Pelayo Fernandez,Rayo Vallecano,0,
Pep Chavarría,Rayo Vallecano,1020,LB
Pepe Reina,Como,900,GK
Peque,Sevilla,724,AM
Pere Joan,Mallorca,0,
Pere Milla,Espanyol,227,LM
Pervis Estupiñán,Brighton & Hove Albion,1244,LB
Petar Stojanović,Empoli,3,AM
Peter Federico,Getafe,334,RM
Phil Foden,Manchester City,1055,AM
Phil Harres,Holstein Kiel,670,FW
Philip Billing,Bournemouth,184,AM
Philipp Hofmann,Bochum,1121,FW
Philipp Köhn,Monaco,900,GK
Philipp Lienhart,Freiburg,1280,CB
Philipp Sander,Mönchengladbach,644,DM
Philipp Treu,St. Pauli,1301,LM
Phillip Tietz,Augsburg,1004,FW
Phillipp Mwene,Mainz 05,1426,WB
Pica,Alavés,483,CB
Pierluigi Gollini,Genoa,630,GK
Piero Hincapié,Bayer Leverkusen,1313,CB
Pierre Cornud,Saint-Étienne,375,LB
Pierre Ekwah Elimby,Saint-Étienne,1231,CM
Pierre Højbjerg,Marseille,1435,DM
Pierre Kalulu,Juventus,1184,CB
Pierre Lees-Melou,Brest,350,CM
Pierrick Capelle,Angers,278,AM
Pietro Comi,Atalanta,0,
Pietro Comuzzo,Fiorentina,1397,CB
Pietro Pellegri,Empoli,414,FW
Pietro Pellegri,Torino,0,
Pietro Terracciano,Fiorentina,270,GK
Pietro Tornaghi,Atalanta,0,
Piotr Zieliński,Internazionale,394,CM
Pol Lirola,Marseille,357,RB
Pol Lozano,Espanyol,978,CM
Pol Tristán,Espanyol,0,
Pontus Almqvist,Parma,482,RW
Portu,Girona,222,AM
Przemysław Frankowski,Lens,1126,WB
Péter Gulácsi,RB Leipzig,1305,GK
Quentin Merlin,Marseille,697,LB
Rabby Nzingoula,Montpellier,855,DM
Rabby Nzingoula,Strasbourg,0,
Radosław Majecki,Monaco,630,GK
Radu Drăgușin,Tottenham Hotspur,847,CB
Rafa,Sevilla,0,
Rafa Marín,Napoli,0,
Rafa Mir,Valencia,300,FW
Rafael Bauza,Espanyol,174,DM
Rafael Fernandes,Lille,0,
Rafael Leão,Milan,1005,LW
Rafael Tolói,Atalanta,114,CB
Raffaele Di Gennaro,Internazionale,0,
Rafik Messali,Toulouse,1,AM
Raheem Sterling,Arsenal,148,LM
Ramon Hendriks,Stuttgart,196,CB
Ramy Bensebaini,Dortmund,885,LB
Ramón Martínez,Sevilla,0,
Ramón Sosa,Nottingham Forest,221,LW
Ramón Terrats,Villarreal,126,CM
Randal Kolo Muani,Paris Saint-Germain,358,FW
Randy Nteka,Rayo Vallecano,641,FW
Rani Khedira,Union Berlin,1298,CM
Raoul Bellanova,Atalanta,1119,WB
Raoul Bellanova,Torino,87,WB
Raphael Le Guen,Brest,0,
Raphaël Adiceam,Auxerre,0,
Raphaël Guerreiro,Bayern Munich,810,RB
Raphinha,Barcelona,1586,LW
Rareş Ilie,Nice,13,AM
Rareș-Cătălin Burnete,Lecce,0,
Rasmus Højlund,Manchester United,973,FW
Rasmus Kristensen,Eintracht Frankfurt,1117,RB
Rasmus Nicolaisen,Toulouse,623,CB
Rassoul Ndiaye,Le Havre,720,CM
Rayan Aït-Nouri,Wolverhampton Wanderers,1368,LB
Rayan Cherki,Lyon,745,RW
Rayan Raveloson,Auxerre,724,CM
Rayane Messi Tanfouri,Strasbourg,0,
Razvan Sava,Udinese,540,GK
Raúl,Osasuna,507,FW
Raúl Albiol,Villarreal,1188,CB
Raúl Asencio,Real Madrid,356,CB
Raúl Chasco,Valladolid,130,LB
Raúl Jiménez,Fulham,1227,FW
Raúl Jiménez,Valencia,0,
Raúl Martínez,Girona,0,
Raúl Moro,Valladolid,1250,LW
Raúl de Tomás,Rayo Vallecano,0,
Reda Belahyane,Hellas Verona,1109,CM
Reda Khadra,Reims,78,RM
Reece James,Chelsea,241,RB
Reinildo Mandava,Atlético Madrid,647,LB
Reiss Nelson,Arsenal,3,RW
Reiss Nelson,Fulham,487,LW
Remi Matthews,Crystal Palace,0,
Remi Oudin,Lecce,168,RM
Remo Freuler,Bologna,1161,DM
Remy Rees-Dottin,Bournemouth,0,
Renato Marin,Roma,0,
Renato Tapia,Leganés,1020,DM
Renato Veiga,Chelsea,181,LB
Ricard Artero,Girona,0,
Ricardo Pereira,Leicester City,146,RB
Ricardo Rodríguez,Real Betis,424,LB
Riccardo Calafiori,Arsenal,707,LB
Riccardo Orsolini,Bologna,737,RW
Riccardo Sottil,Fiorentina,608,LW
Richard Marcone,Parma,0,
Richarlison,Tottenham Hotspur,80,FW
Richie Sagrado,Venezia,140,WB
Rico Lewis,Manchester City,1383,LB
Ridgeciano Haps,Venezia,640,WB
Ridle Baku,RB Leipzig,26,WB
Ridle Baku,Wolfsburg,1170,RW
Ritsu Doan,Freiburg,1326,RW
Rob Holding,Crystal Palace,0,
Robert Andrich,Bayer Leverkusen,925,CM
Robert Gumny,Augsburg,96,WB
Robert Lewandowski,Barcelona,1476,FW
Robert Skov,Union Berlin,470,WB
Robert Sánchez,Chelsea,1620,GK
Robert Wagner,St. Pauli,364,CM
Roberto Gagliardini,Monza,95,CM
Roberto López,Leganés,364,AM
Roberto Navarro,Mallorca,889,RM
Roberto Piccoli,Cagliari,1562,FW
Robin Gosens,Fiorentina,963,LB
Robin Gosens,Union Berlin,90,WB
Robin Hack,Mönchengladbach,818,LW
Robin Hranáč,Hoffenheim,147,CB
Robin Koch,Eintracht Frankfurt,1422,CB
Robin Le Normand,Atlético Madrid,743,CB
Robin Olsen,Aston Villa,45,GK
Robin Risser,Strasbourg,0,
Robin Zentner,Mainz 05,1440,GK
Robinio Vaz,Marseille,0,
Rocco Reitz,Mönchengladbach,1006,DM
Rodney Elongo-Yombo,Dortmund,0,
Rodri,Manchester City,65,CM
Rodri,Real Betis,118,RW
Rodrigo Abajas,Valencia,65,LB
Rodrigo Bentancur,Tottenham Hotspur,588,CM
Rodrigo De Paul,Atlético Madrid,983,CM
Rodrigo Gomes,Wolverhampton Wanderers,443,WB
Rodrigo Muniz,Fulham,601,FW
Rodrigo Riquelme,Atlético Madrid,404,LB
Rodrygo,Real Madrid,1044,RW
Roggerio Nyakossi,Marseille,0,
Roland Sallai,Freiburg,46,LW
Rolando Mandragora,Fiorentina,351,CM
Romain Del Castillo,Brest,876,RW
Romain Faivre,Brest,505,RW
Romain Perraud,Real Betis,1268,LB
Roman Dixon,Everton,90,RB
Romano Schmid,Werder Bremen,1419,AM
Romelu Lukaku,Napoli,1357,FW
Romeo Aigbekaen,St. Pauli,0,
Roméo Lavia,Chelsea,477,DM
Ronald Araújo,Barcelona,0,
Ronnie Edwards,Southampton,12,CB
Ronny Seibt,St. Pauli,0,
Rony Mimb Baheng,Marseille,0,
Ross Barkley,Aston Villa,554,DM
Ross Stewart,Southampton,132,FW
Ruairi Mcconville,Brighton & Hove Albion,0,
Ruben Aguilar,Lens,270,WB
Ruben Lendinez,Valencia,0,
Ruben Loftus-Cheek,Milan,431,AM
Ruben Vargas,Augsburg,305,FW
Ruben Vargas,Sevilla,22,AM
Rubén García,Osasuna,1095,RW
Rubén Gómez,Villarreal,0,
Rubén Peña,Osasuna,508,RW
Rui Modesto,Udinese,91,WB
Rui Patrício,Atalanta,0,
Rui Silva,Real Betis,1350,GK
Ruslan Malinovskyi,Genoa,224,CM
Ryan Christie,Bournemouth,1404,DM
Ryan Fraser,Southampton,303,LW
Ryan Gravenberch,Liverpool,1648,DM
Ryan Manning,Southampton,558,LB
Ryan Sessegnon,Fulham,6,CM
Ryan Trevitt,Brentford,4,CM
Ryan Tutu Mayangila,Strasbourg,0,
Ryan Yates,Nottingham Forest,1329,DM
Rémy Cabella,Lille,638,RW
Rémy Descamps,Lyon,0,
Rémy Labeau Lascary,Lens,637,FW
Rúben Dias,Manchester City,1087,CB
Răzvan Marin,Cagliari,908,CM
Saad Agouzoul,Auxerre,0,
Saad El Haddad,Venezia,30,AM
Saba Goglichidze,Empoli,1376,CB
Saba Sazonov,Empoli,0,
Saba Sazonov,Torino,3,WB
Sacha Boey,Bayern Munich,280,RB
Sael Kumbedi,Lyon,177,RB
Saidou Sow,Strasbourg,1018,CB
Salah Oulad M'Hand,Arsenal,0,
Salih Özcan,Wolfsburg,353,CM
Salim Ben Seghir,Marseille,0,
Salvi,Espanyol,0,
Sam Beukema,Bologna,1575,CB
Sam Johnstone,Crystal Palace,0,
Sam Johnstone,Wolverhampton Wanderers,540,GK
Sam Morsy,Ipswich Town,1613,DM
Samir El Mourabet,Strasbourg,0,
Sammie Szmodics,Ipswich Town,978,LW
Samu Costa,Mallorca,1367,CM
Samuel Amissah,Fulham,0,
Samuel Amo-Ameyaw,Southampton,28,RW
Samuel Bamba,Bochum,10,FW
Samuel Chukwueze,Milan,539,RW
Samuel Dahl,Roma,43,DM
Samuel Edozie,Southampton,65,WB
Samuel Essende,Augsburg,795,FW
Samuel Gigot,Lazio,173,CB
Samuel Grandsir,Le Havre,84,AM
Samuel Iling-Junior,Bologna,111,RW
Samuel Lino,Atlético Madrid,757,LM
Samuel Mbangula,Juventus,494,LW
Samuel Nibombé,Monaco,0,
Samuel Rak-Sakyi,Chelsea,0,
Samuele Birindelli,Monza,392,WB
Samuele Perisan,Empoli,0,
Samuele Ricci,Torino,1677,CM
Samuele Vignato,Monza,228,AM
Sander Berge,Fulham,957,DM
Sandi Lovrić,Udinese,1070,CM
Sandro Ramírez,Las Palmas,1058,RW
Sandro Tonali,Newcastle United,1101,RM
Santi Comesaña,Villarreal,1266,CM
Santiago Bueno,Wolverhampton Wanderers,791,CB
Santiago Castro,Bologna,1236,FW
Santiago Mouriño,Alavés,631,CB
Santiago Pierotti,Lecce,589,RW
Saud Abdulhamid,Roma,129,WB
Saïd Benrahma,Lyon,666,RW
Saïmon Bouabré,Monaco,72,AM
Saúl Coco,Torino,1620,CB
Saúl Ñíguez,Sevilla,550,LM
Saša Lukić,Fulham,1150,DM
Scott Banks,St. Pauli,69,RW
Scott Carson,Manchester City,0,
Scott McKenna,Las Palmas,1268,CB
Scott McTominay,Manchester United,19,AM
Scott McTominay,Napoli,967,LM
Sead Kolašinac,Atalanta,1034,CB
Sean Longstaff,Newcastle United,720,RM
Sebastiaan Bornauw,Wolfsburg,632,CB
Sebastian Esposito,Lecce,0,
Sebastian Nanasi,Strasbourg,1239,LM
Sebastian Wade,Mallorca,0,
Sebastian Walukiewicz,Empoli,180,CB
Sebastian Walukiewicz,Torino,910,CB
Sebastiano Esposito,Empoli,1004,FW
Sebastiano Luperto,Cagliari,1800,CB
Seko Fofana,Rennes,72,CM
Sekou Mara,Strasbourg,605,FW
Selim Amallah,Valladolid,705,CM
Semuel Pizzignacco,Monza,270,GK
Senne Lynen,Werder Bremen,1309,CM
Senny Mayulu,Paris Saint-Germain,262,LM
Sepp van den Berg,Brentford,1338,RB
Serge Gnabry,Bayern Munich,512,LW
Sergi,Leganés,1662,CB
Sergi Altimira,Real Betis,1120,DM
Sergi Canós,Valencia,326,LM
Sergi Cardona,Villarreal,1502,LB
Sergi Darder,Mallorca,1213,LM
Sergi Dominguez,Barcelona,172,CB
Sergi Guardiola,Rayo Vallecano,80,FW
Sergi Gómez,Espanyol,652,CB
Sergi Roberto,Como,412,DM
Sergio Akieme,Reims,1239,LB
Sergio Camello,Rayo Vallecano,940,FW
Sergio Carreira,Celta Vigo,318,RM
Sergio Gómez,Real Sociedad,1369,LM
Sergio Herrera,Osasuna,1710,GK
Sergio Mestre,Real Madrid,0,
Sergio Reguilón,Tottenham Hotspur,45,LB
Sergiu Perciun,Torino,0,
Serhou Guirassy,Dortmund,1151,FW
Seydou Fini,Genoa,0,
Seydouba Cissé,Leganés,1224,CM
Shavy Babicka,Toulouse,527,AM
Sheraldo Becker,Real Sociedad,688,LM
Shiō Fukuda,Mönchengladbach,1,RW
Shuto Machino,Holstein Kiel,789,FW
Sidiki Cherif,Angers,282,FW
Siebe Van Der Heyden,Mallorca,97,LB
Sil Swinkels,Aston Villa,0,
Silas Katompa,Stuttgart,0,
Silvan Widmer,Mainz 05,177,WB
Silvano Vos,Milan,0,
Silvi Clúa,Girona,163,CM
Simon Adingra,Brighton & Hove Albion,491,LW
Simon Cara,Montpellier,0,
Simon Sohm,Parma,814,DM
Simone Pafundi,Udinese,0,
Simone Perilli,Hellas Verona,90,GK
Simone Scuffet,Cagliari,1170,GK
Simone Scuffet,Napoli,0,
Simone Verdi,Como,78,LW
Sinaly Diomande,Auxerre,880,CB
Sirlord Conteh,Heidenheim,415,RW
Skelly Alvero,Werder Bremen,105,CM
Sofiane Diop,Nice,648,AM
Sofyan Amrabat,Fiorentina,90,CM
Solly March,Brighton & Hove Albion,3,RB
Son Heung-min,Tottenham Hotspur,1060,LW
Sorba Thomas,Nantes,819,RW
Souleymane Touré,Udinese,727,CB
Soumaïla Coulibaly,Brest,321,CB
Soungoutou Magassa,Monaco,653,DM
Stanis Idumbo,Sevilla,212,LW
Stanislav Lobotka,Napoli,1255,CM
Stanko Jurić,Valladolid,1130,CM
Stanley N'Soki,Hoffenheim,630,CB
Stefan Bell,Mainz 05,879,CB
Stefan Džodić,Montpellier,188,CB
Stefan Lainer,Mönchengladbach,324,RB
Stefan Mitrović,Hellas Verona,0,
Stefan Ortega,Manchester City,630,GK
Stefan Posch,Bologna,545,RB
Stefan Schimmer,Heidenheim,168,FW
Stefan de Vrij,Internazionale,894,CB
Stefano Sabelli,Genoa,834,RB
Stefano Sensi,Monza,88,CM
Stefano Turati,Monza,1440,GK
Stephan El Shaarawy,Roma,613,WB
Stephy Mavididi,Leicester City,1115,LW
Steve Mandanda,Rennes,1395,GK
Steve Mounié,Augsburg,233,FW
Steve Ngoura,Le Havre,289,FW
Steven Benda,Fulham,0,
Steven Shpendi,Empoli,0,
Steven Skrzybski,Holstein Kiel,539,FW
Stipe Biuk,Valladolid,0,
Stoichkov,Alavés,685,AM
Stole Dimitrievski,Valencia,360,GK
Strahinja Pavlović,Milan,654,CB
Suat Serdar,Hellas Verona,362,CM
Suso,Sevilla,142,LW
Sven Botman,Newcastle United,89,CB
Sven Ulreich,Bayern Munich,90,GK
Szymon Żurkowski,Empoli,0,
Sávio,Manchester City,990,RW
Séamus Coleman,Everton,197,RB
Sébastien Haller,Dortmund,0,
Sébastien Haller,Leganés,404,FW
Sékou Doucoure,Nantes,0,
Sérigné Diop,Brest,0,
Tadeo Allende,Celta Vigo,2,FW
Taiwo Awoniyi,Nottingham Forest,227,FW
Tajon Buchanan,Internazionale,58,LW
Takefusa Kubo,Real Sociedad,1188,RM
Takehiro Tomiyasu,Arsenal,7,RB
Takuma Asano,Mallorca,394,RW
Takumi Minamino,Monaco,965,AM
Tammy Abraham,Milan,593,FW
Tammy Abraham,Roma,1,FW
Tanguy Coulibaly,Montpellier,437,LW
Tanguy Ndombele,Nice,1018,CM
Tanguy Nianzou,Sevilla,518,CB
Tanner Tessmann,Lyon,309,CM
Tariq Lamptey,Brighton & Hove Albion,349,RB
Taylor Harwood-Bellis,Southampton,1310,CB
Teddy Boulhendi,Nice,0,
Teddy Teuma,Reims,397,AM
Tete Morente,Lecce,711,LW
Teun Koopmeiners,Juventus,940,AM
Theo Bair,Auxerre,420,FW
Theo Hernández,Milan,1084,LB
Thiago,Brentford,132,FW
Thiago Ojeda,Villarreal,8,CM
Thibault De Smet,Reims,192,CB
Thibaut Courtois,Real Madrid,1440,GK
Thierno Barry,Villarreal,1116,FW
Thierry Correia,Valencia,768,RB
Thijs Dallinga,Bologna,299,FW
Thilo Kehrer,Monaco,1260,CB
Thomas Berenbruch,Internazionale,0,
Thomas Campaniello,Empoli,0,
Thomas Cannon,Leicester City,0,
Thomas Dähne,Holstein Kiel,0,
Thomas Keller,Heidenheim,59,RB
Thomas Kristensen,Udinese,638,CB
Thomas Lemar,Atlético Madrid,7,CM
